"","ID","age"
"1119","B2V8772",2
"1120","B2V8773",2
"1121","B2V8774",2
"1122","B2V8775",2
"1123","B2V8776",2
"1124","B2V8777",2
"1125","B2V8778",2
"1126","B2V8779",2
"1127","B2V8780",2
"1128","B2V8781",2
"1129","B2V8782",2
"1130","B2V8783",2
"1131","B2V8784",2
"1132","B2V8785",2
"1133","B2V8786",2
"1134","B2V8787",2
"1135","B2V8788",2
"1136","B2V8789",2
"1137","B2V8790",2
"1138","B2V8791",2
"1139","B2V8792",2
"1140","B2V8793",2
"1141","B2V8794",2
"1142","B2V8795",2
"1143","B2V8796",2
"1144","B2V8797",2
"1145","B2V8798",2
"1146","B2V8799",2
"1147","B2V8800",2
"1148","B2V8802",2
"1149","B2V8803",2
"1150","B2V8804",2
"1151","B2V8805",2
"1152","B2V8806",2
"1153","B2V8807",2
"1154","B2V8808",2
"1155","B2V8809",2
"1156","B2V8810",2
"1157","B2V8811",2
"1158","B2V8812",2
"1159","B2V8813",2
"1160","B2V8814",2
"1161","B2V8815",2
"1162","B2V8816",2
"1163","B2V8817",2
"1164","B2V8818",2
"1165","B2V8819",2
"1166","B2V8820",2
"1167","B2V8821",2
"1168","B2V8822",2
"1169","B2V8823",2
"1170","B2V8824",2
"1171","B2V8825",2
"1172","B2V8826",2
"1173","B2V8827",2
"1174","B2V8828",2
"1175","B2V8829",2
"1176","B2V8830",2
"1177","B2V8831",2
"1178","B2V8832",2
"1179","B2V8833",2
"1180","B2V8834",2
"1181","B2V8835",2
"1182","B2V8836",2
"1183","B2V8837",2
"1184","B2V8838",2
"1185","B2V8839",2
"1186","B2V8840",2
"1187","B2V8841",2
"1188","B2V8842",2
"1189","B2V8843",2
"1190","B2V8844",2
"1191","B2V8845",2
"1192","B2V8846",2
"1193","B2V8847",2
"1194","B2V8848",2
"1195","B2V8849",2
"1196","B2V8850",2
"1197","B2V8851",2
"1198","B2V8852",2
"1199","B2V8853",2
"1200","B2V8854",2
"1201","B2V8855",2
"1202","B2V8856",2
"1203","B2V8857",2
"1204","B2V8858",2
"1205","B2V8859",2
"1206","B2V8860",2
"1207","B2V8861",2
"1208","B2V8862",2
"1209","B2V8863",2
"1210","B2V8864",2
"1211","B2V8865",2
"1212","B2V8866",2
"1213","B2V8867",2
"1214","B2V8868",2
"1215","B2V8869",2
"1216","B2V8870",2
"1217","B2V8871",2
"1218","B2V8872",2
"1219","B2V8873",2
"1220","B2V8874",2
"1221","B2V8875",2
"1222","B2V8876",2
"1223","B2V8877",2
"1224","B2V8878",2
"1225","B2V8879",2
"1226","B2V8880",2
"1227","B2V8881",2
"1228","B2V8882",2
"1229","B2V8883",2
"1230","B2V8884",2
"1231","B2V8885",2
"1232","B2V8886",2
"1233","B2V8887",2
"1234","B2V8888",2
"1235","B2V8889",2
"1236","B2V8890",2
"1237","B2V8891",2
"1238","B2V8892",2
"1239","B2V8893",2
"1240","B2V8894",2
"1241","B2V8895",2
"1242","B2V8896",2
"1243","B2V8897",2
"1244","B2V8898",2
"1245","B2V8899",2
